Strong,Drained,Frustrated,Satisfied,Stay,Values,Meaning,Ideas,Country,Staff,Volunteer,Well-being,Needs,Autonomy,Belonging,Competence,Leadership,Understands,Encourages,Listens,Management,Returns,Rewards,Status,Well,3Needsmet,Autonomous,Belongs,Competent,LeaderOK,Understood,Encouraged,Heard,ManagementOK,ReturnsOK,RewardsOK,StatusOK
0,0,0,1,1,1,1,1,Gambia,0,1,3.2,4.9,5.0,5.0,4.5,4.0,2,5,5,4.5,5.0,3.5,5.0,0,1,1,1,1,1,0,1,1,1,1,1,1
1,0,0,1,1,1,1,1,Gambia,0,1,3.7,4.5,4.7,4.3,4.5,4.7,5,4,5,4.3,5.0,3.0,5.0,1,1,1,1,1,1,1,1,1,1,1,0,1
1,0,0,1,1,1,1,1,Gambia,0,1,3.9,3.9,4.0,4.0,3.5,1.0,1,1,1,3.5,3.0,3.5,4.0,1,1,1,1,1,0,0,0,0,1,0,1,1
1,0,0,1,1,1,1,1,Gambia,0,1,3.7,3.6,3.7,4.0,3.0,4.0,4,4,4,4.3,5.0,3.5,4.5,1,1,1,1,0,1,1,1,1,1,1,1,1
1,0,0,1,1,1,1,1,Gambia,0,1,4.6,4.8,4.7,4.7,5.0,4.0,4,4,4,4.0,5.0,2.0,5.0,1,1,1,1,1,1,1,1,1,1,1,0,1
1,0,0,1,1,1,1,1,Gambia,0,1,3.7,3.8,3.3,4.3,3.5,3.3,4,3,3,4.0,4.5,3.0,4.5,1,1,0,1,1,0,1,0,0,1,1,0,1
1,0,0,1,1,1,1,1,Gambia,0,1,4.6,4.4,4.7,4.7,3.5,4.3,4,4,5,4.5,5.0,3.5,5.0,1,1,1,1,1,1,1,1,1,1,1,1,1
1,0,0,1,1,1,1,1,Gambia,0,1,4.1,3.9,4.0,4.3,3.0,3.7,4,3,4,4.2,4.5,3.5,4.5,1,1,1,1,0,1,1,0,1,1,1,1,1
1,0,0,1,1,1,1,1,Ethiopia,0,1,3.9,4.6,4.7,4.7,4.5,5.0,5,5,5,4.5,4.5,4.0,5.0,1,1,1,1,1,1,1,1,1,1,1,1,1
1,0,0,1,1,1,1,1,Ethiopia,0,1,3.2,4.2,4.3,4.7,3.5,2.0,2,2,2,3.5,4.0,3.0,3.5,0,1,1,1,1,0,0,0,0,1,1,0,1
