Strong,Drained,Frustrated,Satisfied,Stay,Values,Meaning,Ideas,region,Staff,Volunteer,Well-being,Needs,Autonomy,Belonging,Competence,Leadership,Understands,Encourages,Listens,Management,Returns,Rewards,Status,Well,3Needsmet,Autonomous,Belongs,Competent,LeaderOK,Understood,Encouraged,Heard,ManagementOK,ReturnsOK,RewardsOK,StatusOK,Front
1,1,1,1,1,1,1,1,Khmelnytskyi Region,0,1,2.3,4.6,4.7,4.7,4.5,5.0,5,5,5,4.7,5.0,4.5,4.5,0,1,1,1,1,1,1,1,1,1,1,1,1,0
1,1,0,1,1,1,1,1,Khmelnytskyi Region,0,1,3.7,4.5,4.3,5.0,4.0,4.7,4,5,5,5.0,5.0,5.0,5.0,1,1,1,1,1,1,1,1,1,1,1,1,1,0
1,0,0,1,1,1,1,1,Khmelnytskyi Region,0,1,4.8,4.6,4.7,5.0,4.0,5.0,5,5,5,5.0,5.0,5.0,5.0,1,1,1,1,1,1,1,1,1,1,1,1,1,0
1,0,0,1,1,1,1,1,Khmelnytskyi Region,0,1,3.9,5.0,5.0,5.0,5.0,4.3,5,4,4,4.2,4.5,3.5,4.5,1,1,1,1,1,1,1,1,1,1,1,1,1,0
1,0,0,1,1,1,1,1,Khmelnytskyi Region,0,1,3.7,4.2,4.3,4.3,4.0,4.0,4,4,4,4.0,4.0,4.0,4.0,1,1,1,1,1,1,1,1,1,1,1,1,1,0
1,0,0,1,1,1,1,1,Khmelnytskyi Region,0,1,3.9,4.0,4.0,4.0,4.0,4.0,4,4,4,3.7,4.0,3.0,4.0,1,1,1,1,1,1,1,1,1,1,1,0,1,0
1,0,0,1,1,1,1,1,Khmelnytskyi Region,0,1,4.6,4.5,4.3,4.3,5.0,4.7,5,4,5,4.0,4.5,3.0,4.5,1,1,1,1,1,1,1,1,1,1,1,0,1,0
1,0,0,1,1,1,1,1,Khmelnytskyi Region,0,1,4.1,4.0,4.0,4.0,4.0,4.0,4,4,4,4.0,4.0,4.0,4.0,1,1,1,1,1,1,1,1,1,1,1,1,1,0
1,0,0,1,1,1,1,1,Khmelnytskyi Region,0,1,4.6,4.0,4.0,4.0,4.0,4.3,5,4,4,4.0,4.0,4.0,4.0,1,1,1,1,1,1,1,1,1,1,1,1,1,0
1,0,0,1,1,1,1,1,Khmelnytskyi Region,0,1,3.9,3.8,3.7,3.7,4.0,3.7,4,3,4,3.8,4.0,4.0,3.5,1,1,1,1,1,1,1,0,1,1,1,1,1,0
1,0,0,1,1,1,1,1,Khmelnytskyi Region,0,1,3.9,3.9,4.0,3.7,4.0,3.3,4,3,3,3.5,4.0,3.5,3.0,1,1,1,1,1,0,1,0,0,1,1,1,0,0
1,0,0,1,1,1,1,1,Donetsk Region,0,1,3.4,4.8,5.0,5.0,4.0,5.0,5,5,5,4.3,5.0,4.0,4.0,0,1,1,1,1,1,1,1,1,1,1,1,1,1
1,0,0,1,1,1,1,1,Donetsk Region,0,1,4.3,4.8,5.0,5.0,4.0,4.7,5,4,5,4.3,4.5,3.5,5.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,0,0,1,1,1,1,1,Chernihiv Region,0,1,3.9,4.5,4.0,4.7,5.0,4.0,4,4,4,4.2,4.5,4.0,4.0,1,1,1,1,1,1,1,1,1,1,1,1,1,0
1,0,0,1,1,1,1,1,Chernihiv Region,0,1,4.6,4.5,4.0,4.7,5.0,4.3,5,4,4,4.2,4.0,4.0,4.5,1,1,1,1,1,1,1,1,1,1,1,1,1,0
1,0,0,1,1,1,1,1,Chernihiv Region,0,1,4.1,4.0,4.0,4.0,4.0,4.0,4,4,4,3.7,4.0,3.0,4.0,1,1,1,1,1,1,1,1,1,1,1,0,1,0
1,0,0,1,1,1,1,1,Chernihiv Region,0,1,3.9,4.4,4.0,4.3,5.0,5.0,5,5,5,4.7,4.5,5.0,4.5,1,1,1,1,1,1,1,1,1,1,1,1,1,0
1,0,0,1,1,1,1,1,Chernihiv Region,0,1,4.1,4.0,4.0,4.0,4.0,4.0,4,4,4,4.0,4.0,4.0,4.0,1,1,1,1,1,1,1,1,1,1,1,1,1,0
1,0,0,1,1,1,1,1,Chernihiv Region,0,1,4.3,4.2,4.7,4.0,4.0,5.0,5,5,5,3.8,3.5,4.0,4.0,1,1,1,1,1,1,1,1,1,1,1,1,1,0
1,0,0,1,1,1,1,1,Chernihiv Region,0,1,3.9,4.4,4.7,4.3,4.0,4.0,4,4,4,3.8,3.5,4.0,4.0,1,1,1,1,1,1,1,1,1,1,1,1,1,0
1,0,0,1,1,1,1,1,Chernihiv Region,0,1,3.4,4.9,4.7,5.0,5.0,4.3,5,4,4,4.2,3.5,4.0,5.0,0,1,1,1,1,1,1,1,1,1,1,1,1,0
1,0,0,1,1,1,1,1,Chernihiv Region,0,1,3.7,4.8,4.7,5.0,4.5,5.0,5,5,5,4.5,5.0,4.0,4.5,1,1,1,1,1,1,1,1,1,1,1,1,1,0
0,0,0,1,1,1,1,0,Chernihiv Region,0,1,3.7,4.0,3.7,4.0,4.5,4.0,4,4,4,4.7,4.5,4.5,5.0,1,1,1,1,1,1,1,1,1,1,1,1,1,0
1,1,0,1,1,1,1,1,Chernihiv Region,0,1,3.2,3.9,3.7,4.0,4.0,3.7,3,4,4,4.5,5.0,4.0,4.5,0,1,1,1,1,1,0,1,1,1,1,1,1,0
1,0,0,1,1,1,1,1,Chernihiv Region,0,1,4.3,4.6,4.7,4.7,4.5,4.3,5,4,4,4.2,5.0,4.0,3.5,1,1,1,1,1,1,1,1,1,1,1,1,1,0
1,1,0,1,1,1,1,1,Chernihiv Region,0,1,3.7,4.0,4.0,4.0,4.0,4.0,4,4,4,4.0,4.0,4.0,4.0,1,1,1,1,1,1,1,1,1,1,1,1,1,0
1,0,0,1,1,1,1,1,Chernihiv Region,0,1,4.3,4.0,4.0,4.0,4.0,4.3,5,4,4,4.3,4.5,4.5,4.0,1,1,1,1,1,1,1,1,1,1,1,1,1,0
1,0,0,1,1,1,1,1,Chernihiv Region,0,1,4.6,4.8,5.0,4.3,5.0,4.0,4,4,4,4.5,4.0,4.5,5.0,1,1,1,1,1,1,1,1,1,1,1,1,1,0
1,0,0,1,1,1,1,1,Chernihiv Region,0,1,3.7,3.6,3.7,4.0,3.0,4.0,4,4,4,4.0,4.0,4.0,4.0,1,1,1,1,0,1,1,1,1,1,1,1,1,0
1,0,0,1,1,1,1,1,Chernihiv Region,0,1,3.9,4.0,4.0,4.0,4.0,4.0,4,4,4,3.8,4.0,3.5,4.0,1,1,1,1,1,1,1,1,1,1,1,1,1,0
