Team Name,Survey Data,Well-being,Needs,Engagement,Autonomy,Belonging,Competence,Leadership,Management,Returns,Rewards,Status,Myself,Tasks,Free,Mastery,Competent,Learn,Group,Talk,Care,Satisfied,Meaning,Stay,Ideas,Values,Understands,Encourages,Listens,Network,Friendly,Team,Appreciated,Responsibilities,Work,Impact,Strong,Drained,Frustrated,Volunteer,Staff,Position,Country,Region,region,frontline,Front
Kamianets_Podilskyi_District_JointStaffVolunteers,2024-06-06 09:32:10.068000,2.3,4.6,4.6,4.7,4.7,4.5,5.0,4.7,5.0,4.5,4.5,5,4,5,4,5,5,5,4,5,5,4,5,5,4,5,5,5,5,5,4,5,5,4,4,7,7,7,1,0,Volunteer,Ukraine,Europe,Khmelnytskyi Region,Not frontline,0
Kamianets_Podilskyi_District_JointStaffVolunteers,2024-06-06 09:32:10.068000,3.7,4.5,4.6,4.3,5.0,4.0,4.7,5.0,5.0,5.0,5.0,5,4,4,4,4,5,5,5,5,5,5,3,5,5,4,5,5,5,5,2,5,5,5,5,7,5,3,1,0,Volunteer,Ukraine,Europe,Khmelnytskyi Region,Not frontline,0
Kamianets_Podilskyi_District_JointStaffVolunteers,2024-06-06 09:32:10.068000,4.8,4.6,5.0,4.7,5.0,4.0,5.0,5.0,5.0,5.0,5.0,5,4,5,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,5,5,5,5,6,1,1,1,0,Volunteer,Ukraine,Europe,Khmelnytskyi Region,Not frontline,0
Kamianets_Podilskyi_District_JointStaffVolunteers,2024-06-06 09:32:10.068000,3.9,5.0,4.6,5.0,5.0,5.0,4.3,4.2,4.5,3.5,4.5,5,5,5,5,5,5,5,5,5,5,5,3,5,5,5,4,4,4,4,3,4,4,3,5,5,4,1,1,0,Volunteer,Ukraine,Europe,Khmelnytskyi Region,Not frontline,0
Kamianets_Podilskyi_District_JointStaffVolunteers,2024-06-06 09:32:10.068000,3.7,4.2,4.0,4.3,4.3,4.0,4.0,4.0,4.0,4.0,4.0,5,4,4,4,4,4,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,3,3,1,0,Volunteer,Ukraine,Europe,Khmelnytskyi Region,Not frontline,0
Kamianets_Podilskyi_District_JointStaffVolunteers,2024-06-06 09:32:10.068000,3.9,4.0,4.0,4.0,4.0,4.0,4.0,3.7,4.0,3.0,4.0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,3,3,4,5,3,2,1,0,Volunteer,Ukraine,Europe,Khmelnytskyi Region,Not frontline,0
Kamianets_Podilskyi_District_JointStaffVolunteers,2024-06-06 09:32:10.068000,4.6,4.5,4.6,4.3,4.3,5.0,4.7,4.0,4.5,3.0,4.5,5,4,4,5,5,5,5,4,4,5,5,5,4,4,5,4,5,4,5,3,5,3,3,4,7,3,1,1,0,Volunteer,Ukraine,Europe,Khmelnytskyi Region,Not frontline,0
Kamianets_Podilskyi_District_JointStaffVolunteers,2024-06-06 09:32:10.068000,4.1,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,5,2,2,1,0,Volunteer,Ukraine,Europe,Khmelnytskyi Region,Not frontline,0
Kamianets_Podilskyi_District_JointStaffVolunteers,2024-06-06 09:32:10.068000,4.6,4.0,4.0,4.0,4.0,4.0,4.3,4.0,4.0,4.0,4.0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,4,4,4,4,4,4,4,4,4,6,2,1,1,0,Volunteer,Ukraine,Europe,Khmelnytskyi Region,Not frontline,0
Kamianets_Podilskyi_District_JointStaffVolunteers,2024-06-06 09:32:10.068000,3.9,3.8,3.4,3.7,3.7,4.0,3.7,3.8,4.0,4.0,3.5,4,3,4,4,4,4,4,3,4,4,4,3,3,3,4,3,4,4,4,2,3,4,4,4,5,3,2,1,0,Volunteer,Ukraine,Europe,Khmelnytskyi Region,Not frontline,0
Slavuta_City_JointStaffVolunteers,2024-06-12 05:55:14.472000,3.9,3.9,3.8,4.0,3.7,4.0,3.3,3.5,4.0,3.5,3.0,4,4,4,4,4,4,4,4,3,4,4,4,4,3,4,3,3,4,4,3,3,4,3,3,5,3,2,1,0,Volunteer,Ukraine,Europe,Khmelnytskyi Region,Not frontline,0
Kostyantynivka_District_Joint_Staff_Volunteers,2024-06-12 09:44:13.800000,3.4,4.8,4.4,5.0,5.0,4.0,5.0,4.3,5.0,4.0,4.0,5,5,5,4,4,5,5,5,5,4,5,5,4,4,5,5,5,5,5,2,4,4,4,4,5,4,3,1,0,Volunteer,Ukraine,Europe,Donetsk Region,Frontline,1
Kostyantynivka_District_Joint_Staff_Volunteers,2024-06-12 09:44:13.800000,4.3,4.8,4.6,5.0,5.0,4.0,4.7,4.3,4.5,3.5,5.0,5,5,5,4,4,5,5,5,5,5,5,4,4,5,5,4,5,4,5,3,5,4,3,5,6,3,1,1,0,Volunteer,Ukraine,Europe,Donetsk Region,Frontline,1
Nizhyn_District_Volunteers,2024-06-13 08:41:04.792000,3.9,4.5,4.2,4.0,4.7,5.0,4.0,4.2,4.5,4.0,4.0,4,4,4,5,5,5,5,4,5,4,5,4,4,4,4,4,4,4,4,2,4,4,4,4,5,3,2,1,0,Volunteer,Ukraine,Europe,Chernihiv Region,Not frontline,0
Nizhyn_District_Volunteers,2024-06-13 08:41:04.792000,4.6,4.5,4.6,4.0,4.7,5.0,4.3,4.2,4.0,4.0,4.5,4,4,4,5,5,4,5,4,5,4,5,4,5,5,5,4,4,4,4,3,4,4,4,5,7,3,1,1,0,Volunteer,Ukraine,Europe,Chernihiv Region,Not frontline,0
Pryluky_District_Volunteers,2024-06-13 08:55:19.314000,4.1,4.0,4.0,4.0,4.0,4.0,4.0,3.7,4.0,3.0,4.0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,3,3,4,5,3,1,1,0,Volunteer,Ukraine,Europe,Chernihiv Region,Not frontline,0
Pryluky_District_Volunteers,2024-06-13 08:55:19.314000,3.9,4.4,4.8,4.0,4.3,5.0,5.0,4.7,4.5,5.0,4.5,4,4,4,5,5,4,5,4,4,5,5,5,5,4,5,5,5,5,5,3,4,5,5,5,5,3,2,1,0,Volunteer,Ukraine,Europe,Chernihiv Region,Not frontline,0
Pryluky_District_Volunteers,2024-06-13 08:55:19.314000,4.1,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,7,3,3,1,0,Volunteer,Ukraine,Europe,Chernihiv Region,Not frontline,0
Pryluky_District_Volunteers,2024-06-13 08:55:19.314000,4.3,4.2,4.2,4.7,4.0,4.0,5.0,3.8,3.5,4.0,4.0,5,4,5,4,4,4,5,3,4,4,4,5,5,3,5,5,5,3,4,3,4,4,4,4,6,3,1,1,0,Volunteer,Ukraine,Europe,Chernihiv Region,Not frontline,0
Pryluky_District_Volunteers,2024-06-13 08:55:19.314000,3.9,4.4,4.0,4.7,4.3,4.0,4.0,3.8,3.5,4.0,4.0,5,5,4,4,4,3,4,5,4,4,4,4,4,4,4,4,4,4,5,2,4,4,4,4,5,3,2,1,0,Volunteer,Ukraine,Europe,Chernihiv Region,Not frontline,0
Pryluky_District_Volunteers,2024-06-13 08:55:19.314000,3.4,4.9,4.6,4.7,5.0,5.0,4.3,4.2,3.5,4.0,5.0,5,4,5,5,5,3,5,5,5,5,4,5,4,5,5,4,4,4,5,1,5,4,4,5,5,4,3,1,0,Volunteer,Ukraine,Europe,Chernihiv Region,Not frontline,0
Pryluky_District_Volunteers,2024-06-13 08:55:19.314000,3.7,4.8,5.0,4.7,5.0,4.5,5.0,4.5,5.0,4.0,4.5,4,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2,5,4,4,4,5,3,3,1,0,Volunteer,Ukraine,Europe,Chernihiv Region,Not frontline,0
Pryluky_District_Volunteers,2024-06-13 08:55:19.314000,3.7,4.0,3.4,3.7,4.0,4.5,4.0,4.7,4.5,4.5,5.0,4,4,3,5,4,5,4,4,4,5,3,4,2,3,4,4,4,4,5,3,5,4,5,5,4,4,1,1,0,Volunteer,Ukraine,Europe,Chernihiv Region,Not frontline,0
Chernihiv_City_Volunteers,2024-06-13 09:14:36.517000,3.2,3.9,3.8,3.7,4.0,4.0,3.7,4.5,5.0,4.0,4.5,4,3,4,4,4,5,4,4,4,4,4,3,4,4,3,4,4,5,5,3,5,4,4,4,6,6,3,1,0,Volunteer,Ukraine,Europe,Chernihiv Region,Not frontline,0
Koryukivka_District_Volunteers,2024-06-13 10:26:55.959000,4.3,4.6,4.8,4.7,4.7,4.5,4.3,4.2,5.0,4.0,3.5,5,5,4,5,4,5,5,4,5,5,5,5,5,4,5,4,4,5,4,2,3,4,4,4,6,3,1,1,0,Volunteer,Ukraine,Europe,Chernihiv Region,Not frontline,0
Koryukivka_District_Volunteers,2024-06-13 10:26:55.959000,3.7,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,6,6,1,1,0,Volunteer,Ukraine,Europe,Chernihiv Region,Not frontline,0
Koryukivka_District_Volunteers,2024-06-13 10:26:55.959000,4.3,4.0,4.4,4.0,4.0,4.0,4.3,4.3,4.5,4.5,4.0,4,4,4,4,4,5,4,4,4,4,5,4,4,5,5,4,4,4,5,2,4,4,5,4,5,2,1,1,0,Volunteer,Ukraine,Europe,Chernihiv Region,Not frontline,0
Koryukivka_District_Volunteers,2024-06-13 10:26:55.959000,4.6,4.8,4.2,5.0,4.3,5.0,4.0,4.5,4.0,4.5,5.0,5,5,5,5,5,4,4,4,5,4,4,5,4,4,4,4,4,4,5,1,5,5,4,5,6,2,1,1,0,Volunteer,Ukraine,Europe,Chernihiv Region,Not frontline,0
Koryukivka_District_Volunteers,2024-06-13 10:26:55.959000,3.7,3.6,4.0,3.7,4.0,3.0,4.0,4.0,4.0,4.0,4.0,4,4,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,5,3,3,1,0,Volunteer,Ukraine,Europe,Chernihiv Region,Not frontline,0
Koryukivka_District_Volunteers,2024-06-13 10:26:55.959000,3.9,4.0,3.8,4.0,4.0,4.0,4.0,3.8,4.0,3.5,4.0,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,3,4,4,3,4,5,3,2,1,0,Volunteer,Ukraine,Europe,Chernihiv Region,Not frontline,0
Koryukivka_District_Volunteers,2024-06-13 10:26:55.959000,4.8,4.8,5.0,4.7,5.0,4.5,5.0,4.8,5.0,5.0,4.5,5,4,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,5,5,5,4,7,2,1,1,0,Volunteer,Ukraine,Europe,Chernihiv Region,Not frontline,0
Koryukivka_District_Volunteers,2024-06-13 10:26:55.959000,5.0,4.6,5.0,5.0,4.7,4.0,4.7,4.8,4.5,5.0,5.0,5,5,5,4,4,4,5,5,4,5,5,5,5,5,4,5,5,5,5,3,5,5,5,5,7,1,1,1,0,Volunteer,Ukraine,Europe,Chernihiv Region,Not frontline,0
Koryukivka_District_Volunteers,2024-06-13 10:26:55.959000,5.0,5.0,4.6,5.0,5.0,5.0,5.0,4.5,4.5,4.0,5.0,5,5,5,5,5,5,5,5,5,5,5,5,4,4,5,5,5,4,5,2,5,4,4,5,7,1,1,1,0,Volunteer,Ukraine,Europe,Chernihiv Region,Not frontline,0
Chernihiv_ Regional_Staff,2024-06-13 11:41:30.320000,3.2,3.5,3.4,3.7,3.0,4.0,3.3,3.5,3.0,4.0,3.5,5,3,3,4,4,3,3,3,3,3,4,3,4,3,4,3,3,3,3,4,3,4,4,4,5,4,4,1,0,Volunteer,Ukraine,Europe,Chernihiv Region,Not frontline,0
Chernihiv_ Regional_Staff,2024-06-13 11:41:30.320000,4.1,4.1,3.8,4.0,3.7,5.0,4.0,3.8,4.0,4.0,3.5,4,4,4,5,5,4,4,3,4,4,4,4,3,4,4,4,4,4,5,2,3,4,4,4,5,3,1,1,0,Volunteer,Ukraine,Europe,Chernihiv Region,Not frontline,0
Chernihiv_ Regional_Staff,2024-06-13 11:41:30.320000,4.3,4.2,4.4,5.0,3.7,4.0,4.3,4.0,4.0,4.0,4.0,5,5,5,4,4,5,5,3,3,4,5,5,4,4,5,4,4,3,4,3,3,4,4,5,6,2,2,1,0,Volunteer,Ukraine,Europe,Chernihiv Region,Not frontline,0
Varash_City_Volunteers,2024-07-02 07:06:04.578000,3.9,4.1,4.6,4.0,4.3,4.0,4.0,4.0,4.0,4.0,4.0,4,4,4,4,4,4,4,5,4,4,5,4,5,5,4,4,4,4,4,3,4,4,4,4,5,3,2,1,0,Volunteer,Ukraine,Europe,Rivne Region,Not frontline,0
Varash_City_Volunteers,2024-07-02 07:06:04.578000,5.0,4.9,5.0,4.7,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,7,1,1,1,0,Volunteer,Ukraine,Europe,Rivne Region,Not frontline,0
Varash_City_Volunteers,2024-07-02 07:06:04.578000,3.9,4.1,4.0,4.0,4.3,4.0,4.0,3.8,3.5,4.0,4.0,4,4,4,4,4,4,4,5,4,4,4,4,4,4,4,4,4,3,4,2,4,4,4,4,5,3,2,1,0,Volunteer,Ukraine,Europe,Rivne Region,Not frontline,0
Varash_City_Volunteers,2024-07-02 07:06:04.578000,3.9,4.1,4.4,4.0,4.0,4.5,3.7,3.8,3.5,4.0,4.0,4,4,4,5,4,3,4,4,4,4,4,5,5,4,4,3,4,4,5,3,4,4,4,4,5,3,2,1,0,Volunteer,Ukraine,Europe,Rivne Region,Not frontline,0
Varash_City_Volunteers,2024-07-02 07:06:04.578000,4.3,4.9,5.0,5.0,5.0,4.5,5.0,5.0,5.0,5.0,5.0,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,6,2,2,1,0,Volunteer,Ukraine,Europe,Rivne Region,Not frontline,0
Varash_City_Volunteers,2024-07-02 07:06:04.578000,4.8,4.9,4.6,5.0,5.0,4.5,5.0,4.5,4.5,4.0,5.0,5,5,5,4,5,5,5,5,5,4,5,5,4,5,5,5,5,4,5,3,5,4,4,5,7,2,1,1,0,Volunteer,Ukraine,Europe,Rivne Region,Not frontline,0
Varash_City_Volunteers,2024-07-02 07:06:04.578000,4.6,4.0,3.6,3.7,4.0,4.5,4.0,4.0,4.0,4.0,4.0,4,5,2,5,4,4,4,4,4,4,4,4,3,3,4,4,4,4,4,2,4,4,4,4,6,2,1,1,0,Volunteer,Ukraine,Europe,Rivne Region,Not frontline,0
Dubno_City_Volunteers,2024-07-02 07:07:42.786000,3.4,3.6,3.8,4.0,3.0,4.0,3.7,3.3,4.0,2.0,4.0,4,4,4,4,4,4,3,3,3,3,4,4,4,4,4,3,4,4,4,3,4,2,2,4,5,5,2,1,0,Volunteer,Ukraine,Europe,Rivne Region,Not frontline,0
