Team Name,Engagement,Satisfied,Meaning,Values,Ideas,Stay
Dobropillya_District_Joint_Staff_Volunteers,4.2,4.1,4.7,4.1,4.4,3.6
Donetsk_Regional_Staff,4.1,4.0,4.4,3.5,4.3,4.4
Druzhkivka_City_Joint_Staff_Volunteers,4.2,4.4,4.2,3.9,4.2,4.5
Kostyantynivka_District_Joint_Staff_Volunteers,4.5,4.5,5.0,4.5,4.0,4.5
Kramatorsk_City_Joint_Staff_Volunteers,4.3,4.4,4.6,4.0,4.4,4.0
Kurakhovo_District_Joint_Staff_Volunteers,4.4,4.4,4.6,4.2,4.4,4.3
Liman_District_Joint_Staff_Volunteers,4.5,4.5,4.5,4.4,4.5,4.6
Mirnohrad_City_Joint_Staff_Volunteers,4.1,4.2,4.2,3.8,4.0,4.3
Pokrovsk_District_Joint_Staff_Volunteers,4.3,4.2,4.4,4.2,4.2,4.4
Slovyansk_District_Joint_Staff_Volunteers,4.2,4.1,4.0,4.4,4.0,4.3
