Team Name,Leadership,Listens,Understands,Encourages
Dobropillya_District_Joint_Staff_Volunteers,3.9,3.9,4.0,3.9
Donetsk_Regional_Staff,4.0,3.9,4.2,3.8
Druzhkivka_City_Joint_Staff_Volunteers,4.2,4.3,4.3,4.1
Kostyantynivka_District_Joint_Staff_Volunteers,4.8,5.0,5.0,4.5
Kramatorsk_City_Joint_Staff_Volunteers,4.2,4.2,4.4,4.0
Kurakhovo_District_Joint_Staff_Volunteers,4.5,4.5,4.8,4.2
Liman_District_Joint_Staff_Volunteers,4.5,4.5,4.7,4.3
Mirnohrad_City_Joint_Staff_Volunteers,3.6,3.6,3.6,3.6
Pokrovsk_District_Joint_Staff_Volunteers,3.8,3.7,3.9,3.6
Slovyansk_District_Joint_Staff_Volunteers,4.2,4.1,4.4,4.1
