Team Name,Management,Returns,Rewards,Status
Dobropillya_District_Joint_Staff_Volunteers,4.2,4.2,4.2,4.3
Donetsk_Regional_Staff,3.9,4.1,3.8,3.8
Druzhkivka_City_Joint_Staff_Volunteers,4.2,4.2,4.0,4.5
Kostyantynivka_District_Joint_Staff_Volunteers,4.3,4.8,3.8,4.5
Kramatorsk_City_Joint_Staff_Volunteers,4.0,4.2,3.6,4.2
Kurakhovo_District_Joint_Staff_Volunteers,4.3,4.4,4.0,4.5
Liman_District_Joint_Staff_Volunteers,4.4,4.6,4.3,4.3
Mirnohrad_City_Joint_Staff_Volunteers,4.0,4.2,3.4,4.2
Pokrovsk_District_Joint_Staff_Volunteers,4.1,4.2,3.8,4.3
Slovyansk_District_Joint_Staff_Volunteers,4.1,4.0,4.1,4.2
