Team Name,Needs,Autonomy,Belonging,Competence
Dobropillya_District_Joint_Staff_Volunteers,4.3,4.1,4.3,4.4
Donetsk_Regional_Staff,3.9,4.0,3.9,3.8
Druzhkivka_City_Joint_Staff_Volunteers,4.2,4.2,4.1,4.3
Kostyantynivka_District_Joint_Staff_Volunteers,4.8,5.0,5.0,4.0
Kramatorsk_City_Joint_Staff_Volunteers,4.1,4.1,4.1,4.2
Kurakhovo_District_Joint_Staff_Volunteers,4.4,4.4,4.5,4.4
Liman_District_Joint_Staff_Volunteers,4.3,4.4,4.3,4.3
Mirnohrad_City_Joint_Staff_Volunteers,4.0,4.0,3.9,4.2
Pokrovsk_District_Joint_Staff_Volunteers,4.1,4.0,4.2,4.2
Slovyansk_District_Joint_Staff_Volunteers,4.1,4.1,4.1,4.3
