Team Name,Well-being,Strong,Drained,Frustrated
Dobropillya_District_Joint_Staff_Volunteers,3.8,5.0,3.2,2.1
Donetsk_Regional_Staff,3.7,5.4,3.9,2.1
Druzhkivka_City_Joint_Staff_Volunteers,4.1,5.5,2.7,1.8
Kostyantynivka_District_Joint_Staff_Volunteers,3.8,5.5,3.5,2.0
Kramatorsk_City_Joint_Staff_Volunteers,4.0,5.2,3.0,1.6
Kurakhovo_District_Joint_Staff_Volunteers,4.1,5.4,2.7,1.7
Liman_District_Joint_Staff_Volunteers,4.4,5.8,2.2,1.5
Mirnohrad_City_Joint_Staff_Volunteers,3.9,5.4,3.4,2.1
Pokrovsk_District_Joint_Staff_Volunteers,4.1,5.5,2.7,1.8
Slovyansk_District_Joint_Staff_Volunteers,4.0,5.4,3.4,1.4
