Team Name,Engagement,Satisfied,Meaning,Values,Ideas,Stay
Ivano- Frankivsk Regional| home based care,3.8,3.8,4.0,3.8,4.2,3.2
Ivano-Frankivsk Regional ERT joint|staff|volunteers,4.1,4.0,4.4,3.4,4.4,4.2
Ivano-Frankivsk Regional PSS,4.4,4.2,4.5,4.2,4.5,4.2
Ivano-Frankivsk Regional Staff,3.8,3.8,3.4,3.6,4.1,3.9
Ivano-Frankivsk city  joint|staff|volunteers,4.1,4.7,4.3,4.2,4.2,3.3
Kalush district  joint|staff|volunteers,4.4,4.6,4.4,4.4,4.4,4.2
Kolomyya district joint|staff|volunteers,4.6,4.6,4.6,4.4,4.9,4.4
Kosiv district joint|staff|volunteers,4.7,4.8,4.6,4.8,4.6,4.8
Nadvirna district joint|staff|volunteers,4.1,4.0,4.0,4.2,4.2,4.0
Verkhovyna district joint|staff|volunteers,4.5,4.4,4.6,4.4,4.5,4.5
