Team Name,Leadership,Listens,Understands,Encourages
Ivano- Frankivsk Regional| home based care,3.7,3.8,3.4,3.8
Ivano-Frankivsk Regional ERT joint|staff|volunteers,3.8,3.8,3.8,3.8
Ivano-Frankivsk Regional PSS,4.4,4.2,4.5,4.2
Ivano-Frankivsk Regional Staff,3.0,3.1,3.1,2.9
Ivano-Frankivsk city  joint|staff|volunteers,3.6,3.7,3.5,3.7
Kalush district  joint|staff|volunteers,4.6,4.6,4.8,4.4
Kolomyya district joint|staff|volunteers,4.1,3.9,4.3,4.1
Kosiv district joint|staff|volunteers,5.0,5.0,5.0,5.0
Nadvirna district joint|staff|volunteers,4.1,4.5,4.3,3.5
Verkhovyna district joint|staff|volunteers,4.8,4.9,4.9,4.6
