Team Name,Management,Returns,Rewards,Status
Ivano- Frankivsk Regional| home based care,3.7,4.1,2.8,4.3
Ivano-Frankivsk Regional ERT joint|staff|volunteers,4.3,4.1,4.6,4.2
Ivano-Frankivsk Regional PSS,4.1,4.6,3.1,4.5
Ivano-Frankivsk Regional Staff,3.8,4.0,3.6,3.8
Ivano-Frankivsk city  joint|staff|volunteers,3.9,4.4,3.3,4.0
Kalush district  joint|staff|volunteers,4.6,4.5,4.7,4.5
Kolomyya district joint|staff|volunteers,4.1,4.2,3.7,4.4
Kosiv district joint|staff|volunteers,4.5,4.6,4.3,4.5
Nadvirna district joint|staff|volunteers,4.0,4.2,3.5,4.2
Verkhovyna district joint|staff|volunteers,4.2,4.4,4.0,4.4
