Team Name,Needs,Autonomy,Belonging,Competence
Ivano- Frankivsk Regional| home based care,3.7,3.5,3.6,4.2
Ivano-Frankivsk Regional ERT joint|staff|volunteers,4.0,3.9,3.8,4.3
Ivano-Frankivsk Regional PSS,4.3,4.2,4.4,4.2
Ivano-Frankivsk Regional Staff,3.8,3.8,3.4,4.2
Ivano-Frankivsk city  joint|staff|volunteers,4.4,4.6,4.4,4.2
Kalush district  joint|staff|volunteers,4.6,4.7,4.5,4.4
Kolomyya district joint|staff|volunteers,4.2,4.1,4.1,4.4
Kosiv district joint|staff|volunteers,4.6,4.7,4.6,4.4
Nadvirna district joint|staff|volunteers,4.1,4.1,4.2,4.0
Verkhovyna district joint|staff|volunteers,4.4,4.3,4.6,4.5
