Team Name,Well-being,Strong,Drained,Frustrated
Ivano- Frankivsk Regional| home based care,3.2,4.0,3.8,3.2
Ivano-Frankivsk Regional ERT joint|staff|volunteers,3.7,4.8,3.2,2.4
Ivano-Frankivsk Regional PSS,4.2,5.8,2.5,1.8
Ivano-Frankivsk Regional Staff,3.3,4.6,4.4,3.0
Ivano-Frankivsk city  joint|staff|volunteers,4.1,5.5,2.7,1.8
Kalush district  joint|staff|volunteers,4.2,5.8,2.6,1.6
Kolomyya district joint|staff|volunteers,3.9,5.6,2.9,2.6
Kosiv district joint|staff|volunteers,4.4,6.4,2.4,1.8
Nadvirna district joint|staff|volunteers,3.8,5.2,3.2,2.7
Verkhovyna district joint|staff|volunteers,3.9,5.9,3.4,2.4
