Team Name,Engagement,Satisfied,Meaning,Values,Ideas,Stay
Kyiv_City_Staff,4.3,4.2,4.8,3.8,4.7,4.2
Kyiv_City_Volunteers,4.2,4.2,4.5,4.2,4.2,4.0
Kyiv_Darnytskyi District_JointStaffVolunteers,4.4,4.4,4.5,4.3,4.5,4.4
Kyiv_Desnyanskyi District_JointStaffVolunteers,4.2,4.2,4.2,4.0,4.2,4.4
Kyiv_Dniprovsky District_JointStaffVolunteers,4.4,4.5,4.6,4.3,4.3,4.3
Kyiv_Holosiivskyi District_JointStaffVolunteers,4.2,4.0,4.5,4.1,4.4,4.2
Kyiv_Obolonsky District_JointStaffVolunteers,4.4,4.5,4.5,4.0,4.5,4.5
Kyiv_Pechersky District_JointStaffVolunteers,4.0,3.9,4.0,3.9,3.9,4.4
Kyiv_Podolsky District_JointStaffVolunteers,4.4,4.5,4.5,4.2,4.3,4.5
Kyiv_Shevchenkivskyi District_JointStaffVolunteers,4.3,4.5,4.5,4.2,4.2,4.2
Kyiv_Solomianskyi District_JointStaffVolunteers,4.6,4.6,4.6,4.4,4.8,4.6
Kyiv_Svyatoshinsky District_JointStaffVolunteers,4.5,4.5,4.4,4.6,4.6,4.6
