Team Name,Management,Returns,Rewards,Status
Kyiv_City_Staff,4.0,4.2,3.6,4.2
Kyiv_City_Volunteers,4.2,4.2,4.2,4.2
Kyiv_Darnytskyi District_JointStaffVolunteers,4.3,4.4,4.1,4.4
Kyiv_Desnyanskyi District_JointStaffVolunteers,4.1,4.2,3.8,4.2
Kyiv_Dniprovsky District_JointStaffVolunteers,4.3,4.3,4.3,4.3
Kyiv_Holosiivskyi District_JointStaffVolunteers,4.2,4.5,3.8,4.2
Kyiv_Obolonsky District_JointStaffVolunteers,4.4,4.4,4.4,4.5
Kyiv_Pechersky District_JointStaffVolunteers,4.2,4.3,3.9,4.2
Kyiv_Podolsky District_JointStaffVolunteers,4.3,4.4,4.1,4.3
Kyiv_Shevchenkivskyi District_JointStaffVolunteers,3.9,4.2,3.3,4.2
Kyiv_Solomianskyi District_JointStaffVolunteers,4.3,4.4,4.0,4.4
Kyiv_Svyatoshinsky District_JointStaffVolunteers,4.4,4.5,4.2,4.6
