Team Name,Well-being,Strong,Drained,Frustrated
Kyiv_City_Staff,4.0,5.7,3.2,2.0
Kyiv_City_Volunteers,4.0,5.8,3.0,2.3
Kyiv_Darnytskyi District_JointStaffVolunteers,4.3,5.9,2.5,1.4
Kyiv_Desnyanskyi District_JointStaffVolunteers,4.1,5.3,2.9,1.5
Kyiv_Dniprovsky District_JointStaffVolunteers,4.2,5.6,2.6,1.8
Kyiv_Holosiivskyi District_JointStaffVolunteers,3.9,5.0,3.0,1.8
Kyiv_Obolonsky District_JointStaffVolunteers,4.1,5.8,3.5,1.2
Kyiv_Pechersky District_JointStaffVolunteers,4.2,5.8,2.4,1.9
Kyiv_Podolsky District_JointStaffVolunteers,4.0,5.3,2.8,2.0
Kyiv_Shevchenkivskyi District_JointStaffVolunteers,4.3,5.6,2.3,1.5
Kyiv_Solomianskyi District_JointStaffVolunteers,3.8,5.4,4.0,1.6
Kyiv_Svyatoshinsky District_JointStaffVolunteers,4.4,6.2,2.5,1.5
