Team Name,Leadership,Listens,Understands,Encourages
Chervonograd District Staff Volunteers,3.9,4.1,3.7,3.8
Drogobych District Staff Volunteers,4.1,4.0,4.3,3.8
Franskivska & Lychakivska & Syhiv City Representation Staff Volunteers,4.8,4.7,4.7,5.0
Lviv City Staff Volunteers,4.5,4.4,4.6,4.4
Lviv District Staff Volunteers,4.2,4.2,4.5,4.0
Lviv Regional Staff,3.8,3.9,3.8,3.6
Mykolaiv District Staff Volunteers,4.3,4.2,4.5,4.2
Novoyavorivsk & Zhovkva  District Staff Volunteers,4.3,4.4,4.6,4.0
Sambir District Staff Volunteers,3.9,4.0,3.9,3.9
Stryi District Representation Staff Volunteers,3.9,3.8,4.0,3.8
Stryi District Staff Volunteers,4.8,4.8,4.9,4.8
Yavoriv District Staff Volunteers,4.3,4.3,4.3,4.2
Zolochiv District Staff Volunteers,4.4,4.5,4.5,4.2
