Team Name,Well-being,Strong,Drained,Frustrated
Chervonograd District Staff Volunteers,4.0,5.4,3.0,2.1
Drogobych District Staff Volunteers,4.0,5.5,2.8,2.3
Franskivska & Lychakivska & Syhiv City Representation Staff Volunteers,4.7,6.7,2.0,1.0
Lviv City Staff Volunteers,4.3,6.2,2.8,1.8
Lviv District Staff Volunteers,4.3,6.2,2.5,1.8
Lviv Regional Staff,3.6,4.8,3.8,2.2
Mykolaiv District Staff Volunteers,4.0,5.2,2.5,2.5
Novoyavorivsk & Zhovkva  District Staff Volunteers,4.3,5.6,2.2,1.6
Sambir District Staff Volunteers,3.6,5.4,4.1,2.4
Stryi District Representation Staff Volunteers,4.1,5.6,2.6,2.2
Stryi District Staff Volunteers,4.4,5.8,2.4,1.2
Yavoriv District Staff Volunteers,4.0,5.1,2.7,1.7
Zolochiv District Staff Volunteers,4.4,5.7,2.3,1.2
