Team Name,Leadership,Listens,Understands,Encourages
Bashtanka_Distctrict_Staff,4.1,4.1,4.1,4.1
Bashtanka_District_Volunteers,3.7,3.7,3.7,3.6
Mykolaiv_District_PSS_Staff,4.0,4.0,4.2,3.8
Mykolaiv_District_SCICaseManagers_Staff,4.1,4.0,4.2,4.0
Mykolaiv_District_SaveTheChildren_Staff,4.1,4.1,4.3,4.1
Mykolaiv_District_SocialSupport_Staff,4.1,4.3,4.0,4.0
Mykolaiv_District_Staff,4.1,4.0,4.2,4.2
Mykolaiv_District_Volunteers,4.5,4.6,4.6,4.2
Ochakiv_City_Staff,4.4,4.3,4.6,4.4
Ochakiv_City_Volunteers,4.0,4.0,4.1,3.8
Pervomaisk_District_Staff,4.3,4.4,4.4,4.2
Pervomaisk_District_Volunteers,4.3,4.2,4.4,4.2
Snihurivka_City_JointStaffVolunteers,3.9,3.9,3.9,3.9
Voznesensk_District_Volunteers\Staff,3.6,3.5,3.8,3.5
Yuzhnoukrainsk_City_Staff,4.1,4.1,4.4,3.9
Yuzhnoukrainsk_City_Volunteers,4.3,4.2,4.4,4.3
