Team Name,Well-being,Strong,Drained,Frustrated
Bashtanka_Distctrict_Staff,3.4,4.6,3.5,3.1
Bashtanka_District_Volunteers,3.9,5.3,3.0,2.1
Mykolaiv_District_PSS_Staff,3.7,5.4,3.8,2.6
Mykolaiv_District_SCICaseManagers_Staff,4.2,5.8,2.4,1.8
Mykolaiv_District_SaveTheChildren_Staff,3.7,5.3,3.5,2.5
Mykolaiv_District_SocialSupport_Staff,3.3,4.3,4.3,2.5
Mykolaiv_District_Staff,3.8,5.0,3.4,2.3
Mykolaiv_District_Volunteers,4.2,6.1,2.7,2.0
Ochakiv_City_Staff,4.1,6.1,3.1,2.0
Ochakiv_City_Volunteers,4.1,5.5,2.7,2.0
Pervomaisk_District_Staff,4.2,6.6,3.1,2.0
Pervomaisk_District_Volunteers,4.4,5.8,2.1,1.5
Snihurivka_City_JointStaffVolunteers,3.7,5.1,3.5,2.5
Voznesensk_District_Volunteers\Staff,4.3,5.9,2.6,1.5
Yuzhnoukrainsk_City_Staff,3.8,5.3,3.4,2.3
Yuzhnoukrainsk_City_Volunteers,4.0,5.4,3.3,1.8
