Team Name,Engagement,Satisfied,Meaning,Values,Ideas,Stay
Bilhorod-Dnistrovska_District_Volunteers,4.3,3.8,4.4,4.4,4.6,4.2
Bolgradska_District_Volunteers,4.0,3.8,4.2,3.5,4.5,4.2
Chornomorska_District_Volunteers,4.4,4.2,5.0,4.2,4.5,4.0
Izmail_District_Volunteers,4.2,4.5,4.2,4.2,4.0,4.2
Kyivska_City_Volunteers,4.6,4.8,4.6,4.4,4.4,4.8
Malinоvska_City_Volunteers,4.2,4.2,4.4,4.2,4.2,4.2
Odesa_ Regional_Staff,3.8,3.2,4.8,4.2,3.8,3.0
Podilska_District_Volunteers,4.4,4.3,4.7,4.0,4.3,4.5
Prymorska_City_Volunteers,4.6,4.4,4.6,4.2,4.8,4.8
Rozdilnianska_District_Volunteers,4.6,4.6,4.6,4.4,4.6,4.6
Suvorоvska_City_Volunteers,4.3,4.4,4.4,4.3,4.4,4.0
