Team Name,Leadership,Listens,Understands,Encourages
Bilhorod-Dnistrovska_District_Volunteers,4.3,4.2,4.4,4.4
Bolgradska_District_Volunteers,3.8,3.8,3.8,3.8
Chornomorska_District_Volunteers,4.8,4.8,4.8,4.8
Izmail_District_Volunteers,4.0,4.2,4.0,4.0
Kyivska_City_Volunteers,4.4,4.6,4.6,4.0
Malinоvska_City_Volunteers,4.5,4.6,4.6,4.2
Odesa_ Regional_Staff,3.6,3.5,3.5,3.8
Podilska_District_Volunteers,4.2,4.5,4.2,4.0
Prymorska_City_Volunteers,4.3,4.2,4.2,4.6
Rozdilnianska_District_Volunteers,4.3,4.4,4.4,4.0
Suvorоvska_City_Volunteers,4.6,4.7,4.7,4.4
