Team Name,Management,Returns,Rewards,Status
Bilhorod-Dnistrovska_District_Volunteers,4.1,4.3,3.8,4.3
Bolgradska_District_Volunteers,3.8,4.0,3.5,3.8
Chornomorska_District_Volunteers,4.0,4.2,3.9,3.9
Izmail_District_Volunteers,3.9,3.8,4.0,4.1
Kyivska_City_Volunteers,4.6,4.7,4.5,4.6
Malinоvska_City_Volunteers,4.3,4.3,4.1,4.5
Odesa_ Regional_Staff,3.4,3.6,2.6,4.0
Podilska_District_Volunteers,4.3,4.8,4.0,4.2
Prymorska_City_Volunteers,4.4,4.3,4.4,4.5
Rozdilnianska_District_Volunteers,4.5,4.6,4.5,4.5
Suvorоvska_City_Volunteers,4.1,4.4,3.8,4.1
