Team Name,Needs,Autonomy,Belonging,Competence
Bilhorod-Dnistrovska_District_Volunteers,4.2,4.3,4.1,4.2
Bolgradska_District_Volunteers,3.8,3.9,3.7,3.9
Chornomorska_District_Volunteers,4.4,4.4,4.4,4.4
Izmail_District_Volunteers,4.1,4.2,4.0,4.2
Kyivska_City_Volunteers,4.6,4.5,4.7,4.5
Malinоvska_City_Volunteers,4.3,4.5,4.3,4.3
Odesa_ Regional_Staff,3.6,3.5,3.6,3.9
Podilska_District_Volunteers,4.4,4.4,4.3,4.3
Prymorska_City_Volunteers,4.4,4.2,4.4,4.6
Rozdilnianska_District_Volunteers,4.5,4.5,4.5,4.6
Suvorоvska_City_Volunteers,4.3,4.1,4.4,4.3
