Team Name,Well-being,Strong,Drained,Frustrated
Bilhorod-Dnistrovska_District_Volunteers,4.1,5.4,3.2,1.4
Bolgradska_District_Volunteers,4.0,5.8,2.8,2.5
Chornomorska_District_Volunteers,4.4,6.0,2.2,1.2
Izmail_District_Volunteers,4.2,5.5,2.3,1.7
Kyivska_City_Volunteers,4.5,5.8,2.0,1.0
Malinоvska_City_Volunteers,4.2,6.4,3.6,1.6
Odesa_ Regional_Staff,3.1,4.2,4.2,3.8
Podilska_District_Volunteers,4.3,5.7,2.5,1.5
Prymorska_City_Volunteers,4.0,6.0,3.2,2.2
Rozdilnianska_District_Volunteers,4.4,5.4,2.0,1.2
Suvorоvska_City_Volunteers,3.7,4.9,3.4,2.1
