Team Name,Engagement,Satisfied,Meaning,Values,Ideas,Stay
Chornukhy Local Organization,4.3,4.3,4.4,4.3,4.4,4.3
Communications,4.2,5.0,4.0,4.0,4.0,4.0
Dikanyka RO,4.3,4.5,4.3,4.3,4.2,4.5
Home-Based Care,4.4,5.0,5.0,4.0,4.0,4.0
Humanitarian Aid,4.4,4.5,4.5,4.0,4.5,4.5
Kremenchuk Local Organization,4.5,4.6,4.5,4.4,4.3,4.6
Lubny Local Organization,4.7,4.7,5.0,4.3,4.7,5.0
Myrhorod Local Organization,4.5,4.4,4.7,4.6,4.6,4.4
Poltava MO,4.4,4.4,4.6,4.4,4.2,4.6
Poltava Regional Organization,4.6,5.0,5.0,4.0,4.0,5.0
Psychosocial Support або PSS,4.3,4.5,4.5,4.0,4.0,4.5
employees,4.6,4.6,4.8,4.2,4.8,4.5
