Team Name,Leadership,Listens,Understands,Encourages
Chornukhy Local Organization,4.3,4.1,4.4,4.3
Communications,4.0,4.0,4.0,4.0
Dikanyka RO,4.4,4.6,4.4,4.3
Home-Based Care,5.0,5.0,5.0,5.0
Humanitarian Aid,4.6,5.0,4.5,4.5
Kremenchuk Local Organization,4.4,4.4,4.4,4.3
Lubny Local Organization,4.3,4.3,4.3,4.3
Myrhorod Local Organization,4.4,4.4,4.6,4.3
Poltava MO,4.6,4.6,4.7,4.4
Poltava Regional Organization,4.7,5.0,5.0,4.0
Psychosocial Support або PSS,3.8,4.0,3.5,4.0
employees,4.6,4.6,4.6,4.5
