Team Name,Management,Returns,Rewards,Status
Chornukhy Local Organization,4.0,4.3,3.6,4.2
Communications,4.0,4.0,4.0,4.0
Dikanyka RO,4.3,4.5,4.0,4.3
Home-Based Care,4.3,4.5,4.0,4.5
Humanitarian Aid,4.5,4.5,4.5,4.5
Kremenchuk Local Organization,4.3,4.4,4.2,4.4
Lubny Local Organization,4.6,4.8,4.3,4.8
Myrhorod Local Organization,4.3,4.3,4.2,4.4
Poltava MO,4.4,4.3,4.3,4.4
Poltava Regional Organization,4.0,4.0,4.0,4.0
Psychosocial Support або PSS,3.8,4.5,3.0,4.0
employees,4.4,4.4,4.4,4.3
