Team Name,Needs,Autonomy,Belonging,Competence
Chornukhy Local Organization,4.4,4.5,4.2,4.3
Communications,4.2,4.7,4.0,4.0
Dikanyka RO,4.4,4.5,4.5,4.2
Home-Based Care,4.8,4.7,5.0,4.5
Humanitarian Aid,4.8,4.6,4.8,4.8
Kremenchuk Local Organization,4.4,4.5,4.3,4.5
Lubny Local Organization,4.4,4.0,4.6,4.8
Myrhorod Local Organization,4.3,4.4,4.2,4.4
Poltava MO,4.3,4.3,4.3,4.2
Poltava Regional Organization,4.2,4.7,4.0,4.0
Psychosocial Support або PSS,4.5,4.8,4.3,4.2
employees,4.5,4.6,4.5,4.3
