Team Name,Engagement,Satisfied,Meaning,Values,Ideas,Stay
Konotop_City_Volunteers,4.1,4.1,4.2,4.1,4.2,4.1
Ohtyrka_City_Volunteers,4.4,4.4,4.5,4.4,4.4,4.2
Romny_City_Volunteers,4.4,4.4,4.4,4.5,4.4,4.3
Shostka_City_Volunteers,4.4,4.4,4.3,4.3,4.3,4.5
Sumy_Regional_ERT,4.3,4.1,4.4,4.1,4.4,4.5
Sumy_Regional_FirstAid,4.4,4.4,4.5,4.2,4.3,4.6
Sumy_Regional_Home-BasedCare,4.4,4.4,4.5,4.2,4.3,4.4
Sumy_Regional_MineRiskAwareness,4.5,4.6,4.6,4.2,4.6,4.4
Sumy_Regional_PSS_JointStaffVolunteers,4.2,3.9,4.4,4.1,4.4,4.1
Sumy_Regional_Staff,4.4,4.5,4.4,4.1,4.4,4.6
