Team Name,Engagement,Satisfied,Meaning,Values,Ideas,Stay
Borshchiv_District_JoinStaffVolunteers,4.6,4.8,4.6,4.5,4.4,4.5
Chortkiv_District_JoinStaffVolunteers,4.5,4.6,4.7,4.2,4.3,4.7
Kremenets_District_JoinStaffVolonteers,3.9,4.1,4.2,3.8,3.9,3.6
Lanivtsi_District_JoinStaffVolonteers,4.1,4.3,4.1,4.0,4.2,4.0
Pidvolochysk_District_JoinStaffVolonteers,4.3,4.4,4.4,4.2,4.2,4.1
Ternopil_City_JoinStaffVolonteers,4.3,4.4,4.4,4.2,4.1,4.3
Ternopil_Disctict_JoinStaffVolonteers,4.2,4.3,4.4,4.1,4.1,4.1
Ternopil_Regional_ERTFirstAid_Volonteers,4.1,4.1,4.3,4.1,3.9,4.2
Ternopil_Regional_JoinStaff,4.0,3.9,4.4,3.6,4.1,4.1
Zbarazh_District_JoinStaffVolunteers,4.2,4.3,4.3,4.2,4.3,4.1
