Team Name,Leadership,Listens,Understands,Encourages
Borshchiv_District_JoinStaffVolunteers,4.4,4.4,4.6,4.3
Chortkiv_District_JoinStaffVolunteers,4.5,4.6,4.3,4.4
Kremenets_District_JoinStaffVolonteers,4.2,4.4,4.1,4.1
Lanivtsi_District_JoinStaffVolonteers,4.0,4.1,4.0,3.9
Pidvolochysk_District_JoinStaffVolonteers,4.2,4.0,4.4,4.2
Ternopil_City_JoinStaffVolonteers,4.4,4.4,4.5,4.2
Ternopil_Disctict_JoinStaffVolonteers,4.2,4.3,4.2,4.1
Ternopil_Regional_ERTFirstAid_Volonteers,4.2,4.1,4.3,4.2
Ternopil_Regional_JoinStaff,3.4,3.5,3.4,3.2
Zbarazh_District_JoinStaffVolunteers,4.4,4.4,4.3,4.3
