Team Name,Management,Returns,Rewards,Status
Borshchiv_District_JoinStaffVolunteers,4.3,4.4,4.3,4.3
Chortkiv_District_JoinStaffVolunteers,4.4,4.4,4.4,4.3
Kremenets_District_JoinStaffVolonteers,4.1,4.3,3.7,4.2
Lanivtsi_District_JoinStaffVolonteers,4.1,4.4,3.8,4.2
Pidvolochysk_District_JoinStaffVolonteers,4.3,4.4,3.9,4.4
Ternopil_City_JoinStaffVolonteers,4.2,4.3,4.3,4.1
Ternopil_Disctict_JoinStaffVolonteers,4.2,4.3,4.1,4.1
Ternopil_Regional_ERTFirstAid_Volonteers,4.3,4.5,3.7,4.6
Ternopil_Regional_JoinStaff,3.8,4.1,3.2,3.9
Zbarazh_District_JoinStaffVolunteers,4.2,4.2,4.0,4.2
