Team Name,Well-being,Strong,Drained,Frustrated
Borshchiv_District_JoinStaffVolunteers,4.4,5.8,2.2,1.2
Chortkiv_District_JoinStaffVolunteers,4.3,5.4,2.1,1.7
Kremenets_District_JoinStaffVolonteers,3.6,5.1,3.6,2.9
Lanivtsi_District_JoinStaffVolonteers,4.0,5.4,2.9,2.0
Pidvolochysk_District_JoinStaffVolonteers,4.3,5.8,2.1,1.6
Ternopil_City_JoinStaffVolonteers,4.3,5.6,2.6,1.4
Ternopil_Disctict_JoinStaffVolonteers,3.7,5.7,3.6,2.8
Ternopil_Regional_ERTFirstAid_Volonteers,3.7,5.2,3.4,2.7
Ternopil_Regional_JoinStaff,3.0,4.2,4.8,3.2
Zbarazh_District_JoinStaffVolunteers,4.3,5.9,2.4,1.6
