I feel like I can be myself at my volunteer activity.,The tasks I must do at my volunteer activity are in line with what I really want to do.,I am free to express my ideas and opinions on the volunteer activity.,I really master my tasks at my volunteer activity.,I feel competent at my volunteer activity.,I have been able to learn interesting new skills on my volunteer activity.,"At my volunteer activity, I feel part of a group.","At my volunteer activity, I can talk with people about things that really matter to me.",People at my volunteer activity care about me.,"Considering everything, I am satisfied with my volunteer activity.",The team has a great deal of personal meaning for me.,"If I could choose, I will be volunteering one year from now.",I share my ideas with others to improve the team.,The things that I value in life are very similar to the things that the team values.,I feel understood by my supervisor.,My supervisor encourages me to ask questions.,My supervisor listens to how I would like to do things.,I have the opportunity to develop my social network in my volunteer activity.,People I work with are friendly.,The team could do more for me.,"My family, friends and my neighborhood appreciate the work I do for the team.",I am fairly rewarded considering the responsibilities I have.,I am fairly rewarded for the work I do well.,I feel my work has positive impact on other people.,"At my volunteer activity, I feel strong and vigorous.",I feel emotionally drained from my volunteer activity.,I feel frustrated by my volunteer activity.,What year were you born in?,What is your gender?,Team Name
Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Neutral,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Somewhat disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Somewhat disagree,Strongly agree,Sometimes,Rarely,Sometimes,,,Gambian RC
Strongly agree,Somewhat agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Neutral,Neutral,Strongly agree,Every time,Sometimes,Sometimes,,,Gambian RC
Somewhat agree,Somewhat agree,Somewhat agree,Neutral,Somewhat agree,Neutral,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Neutral,Neutral,Neutral,Strongly disagree,Strongly disagree,Strongly disagree,Neutral,Neutral,Somewhat agree,Somewhat agree,Somewhat agree,Neutral,Somewhat agree,Often,Rarely,Almost never,,,Gambian RC
Strongly agree,Neutral,Neutral,Somewhat disagree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Neutral,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Neutral,Somewhat agree,Neutral,Somewhat agree,Strongly agree,Very often,Rarely,Sometimes,,,Gambian RC
Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Somewhat agree,Strongly agree,Neutral,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Somewhat disagree,Somewhat disagree,Strongly agree,Every time,Almost never,Almost never,,,Gambian RC
Somewhat agree,Somewhat agree,Somewhat disagree,Neutral,Somewhat agree,Somewhat agree,Strongly agree,Neutral,Strongly agree,Neutral,Strongly agree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,Neutral,Neutral,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Neutral,Neutral,Somewhat agree,Often,Rarely,Rarely,,,Gambian RC
Somewhat agree,Strongly agree,Strongly agree,Neutral,Somewhat agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Neutral,Strongly agree,Every time,Almost never,Almost never,,,Gambian RC
Somewhat agree,Neutral,Strongly agree,Neutral,Neutral,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Neutral,Somewhat agree,Neutral,Somewhat agree,Strongly agree,Somewhat agree,Neutral,Somewhat agree,Somewhat agree,Neutral,Strongly agree,Very often,Rarely,Almost never,,,Gambian RC
Strongly agree,Somewhat agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,Very often,Rarely,Rarely,,,Ethiopian RC
Strongly agree,Neutral,Strongly agree,Somewhat agree,Neutral,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat agree,Strongly agree,Somewhat agree,Neutral,Neutral,Neutral,Somewhat agree,Often,Sometimes,Sometimes,,,Ethiopian RC
Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat disagree,Strongly agree,Somewhat agree,Neutral,Neutral,Neutral,Strongly agree,Very often,Almost never,Never,,,Ethiopian RC
