Country,size (n),nTeams,Well-being_mean,Needs_mean,Engagement_mean,Autonomy_mean,Belonging_mean,Competence_mean,Leadership_mean,Management_mean,Returns_mean,Rewards_mean,Status_mean,Myself_mean,Tasks_mean,Free_mean,Mastery_mean,Competent_mean,Learn_mean,Group_mean,Talk_mean,Care_mean,Satisfied_mean,Meaning_mean,Stay_mean,Ideas_mean,Values_mean,Understands_mean,Encourages_mean,Listens_mean,Network_mean,Friendly_mean,Team_mean,Appreciated_mean,Responsibilities_mean,Work_mean,Impact_mean,Strong_mean,Drained_mean,Frustrated_mean,Volunteer_mean,Staff_mean,Well-being_median,Needs_median,Engagement_median,Autonomy_median,Belonging_median,Competence_median,Leadership_median,Management_median,Returns_median,Rewards_median,Status_median,Myself_median,Tasks_median,Free_median,Mastery_median,Competent_median,Learn_median,Group_median,Talk_median,Care_median,Satisfied_median,Meaning_median,Stay_median,Ideas_median,Values_median,Understands_median,Encourages_median,Listens_median,Network_median,Friendly_median,Team_median,Appreciated_median,Responsibilities_median,Work_median,Impact_median,Strong_median,Drained_median,Frustrated_median,Volunteer_median,Staff_median
Antigua and Barbuda,6,1,3.7166666666666663,4.366666666666666,4.433333333333334,4.666666666666667,4.166666666666667,4.25,4.016666666666667,4.05,4.75,3.25,4.166666666666667,4.666666666666667,4.666666666666667,4.666666666666667,4.333333333333333,4.166666666666667,5.0,4.666666666666667,4.0,3.8333333333333335,4.5,4.166666666666667,5.0,4.833333333333333,3.6666666666666665,3.6666666666666665,4.166666666666667,4.166666666666667,4.5,4.5,3.3333333333333335,3.8333333333333335,3.3333333333333335,3.1666666666666665,4.5,6.0,3.6666666666666665,3.1666666666666665,1.0,0.0,3.8,4.45,4.5,4.7,4.0,4.0,3.85,4.0,4.75,3.25,4.0,5.0,5.0,5.0,4.0,4.0,5.0,5.0,4.0,4.0,4.5,4.0,5.0,5.0,4.0,3.5,4.0,4.0,4.5,4.5,3.0,4.0,3.5,3.0,4.5,6.0,3.5,2.5,1.0,0.0
Austria,56,1,4.1625,4.0285714285714285,4.171428571428572,3.9125,4.025,4.223214285714286,3.2964285714285713,3.7714285714285714,4.071428571428571,2.767857142857143,4.464285714285714,3.9107142857142856,3.982142857142857,3.8392857142857144,4.285714285714286,4.160714285714286,4.053571428571429,4.339285714285714,4.035714285714286,3.6964285714285716,4.214285714285714,4.089285714285714,4.625,3.9464285714285716,3.982142857142857,3.4285714285714284,3.232142857142857,3.2142857142857144,4.089285714285714,4.357142857142857,3.125,4.392857142857143,2.732142857142857,2.8035714285714284,4.535714285714286,5.767857142857143,2.4107142857142856,2.125,1.0,0.0,4.3,4.2,4.4,4.0,4.3,4.5,3.3,3.7,4.0,3.0,4.5,4.0,4.0,4.0,4.5,4.5,4.0,5.0,4.0,4.0,4.0,4.0,5.0,4.0,4.0,4.0,3.0,3.0,4.0,5.0,3.0,5.0,3.0,3.0,5.0,6.0,2.0,2.0,1.0,0.0
Cyprus,55,3,4.0236363636363635,4.281818181818182,4.454545454545454,4.2727272727272725,4.16,4.4818181818181815,4.127272727272727,4.127272727272727,4.263636363636364,3.709090909090909,4.390909090909091,4.327272727272727,4.127272727272727,4.363636363636363,4.545454545454546,4.418181818181818,4.381818181818182,4.454545454545454,3.909090909090909,4.109090909090909,4.363636363636363,4.6,4.527272727272727,4.581818181818182,4.2,4.1454545454545455,4.036363636363636,4.2,4.1454545454545455,4.527272727272727,3.6,4.127272727272727,3.6545454545454548,3.7636363636363637,4.654545454545454,6.090909090909091,3.0,2.4909090909090907,1.0,0.0,3.9,4.4,4.6,4.3,4.3,5.0,4.3,4.2,4.5,4.0,4.5,5.0,4.0,5.0,5.0,5.0,5.0,5.0,4.0,4.0,5.0,5.0,5.0,5.0,4.0,4.0,4.0,4.0,4.0,5.0,4.0,4.0,4.0,4.0,5.0,7.0,3.0,2.0,1.0,0.0
DK,72,17,3.5875000000000004,4.044444444444444,4.097222222222222,3.9875000000000003,4.070833333333334,4.083333333333333,3.7291666666666665,3.986111111111111,4.076388888888889,3.6666666666666665,4.222222222222222,3.9305555555555554,4.069444444444445,3.9583333333333335,3.9444444444444446,4.222222222222222,4.083333333333333,4.25,4.069444444444445,3.888888888888889,4.152777777777778,4.208333333333333,4.166666666666667,4.180555555555555,3.7777777777777777,3.6944444444444446,3.8194444444444446,3.6805555555555554,4.069444444444445,4.319444444444445,3.6805555555555554,4.097222222222222,3.6527777777777777,3.6805555555555554,4.347222222222222,5.694444444444445,3.8194444444444446,3.236111111111111,1.0,0.0,3.55,4.1,4.2,4.3,4.3,4.0,4.0,4.0,4.5,4.0,4.5,4.0,4.0,4.0,4.0,5.0,4.0,5.0,4.0,4.0,4.0,5.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,6.0,4.0,3.0,1.0,0.0
Ecuador,327,1,4.0504587155963305,3.937920489296636,4.085015290519878,3.921100917431193,3.8314984709480124,4.111620795107034,3.470642201834863,3.81651376146789,3.9067278287461775,3.3960244648318043,4.151376146788991,3.963302752293578,4.009174311926605,3.7889908256880735,4.064220183486238,4.159021406727828,4.241590214067278,3.9724770642201834,3.941896024464832,3.5779816513761467,4.1681957186544345,4.18960244648318,4.08868501529052,3.9602446483180427,4.018348623853211,3.4403669724770642,3.5351681957186543,3.4434250764525993,3.5718654434250765,3.8837920489296636,3.9755351681957185,3.9908256880733943,3.4097859327217126,3.382262996941896,4.3119266055045875,5.7217125382263,2.672782874617737,2.3333333333333335,1.0,0.0,4.1,4.1,4.2,4.0,4.0,4.0,3.7,3.8,4.0,3.5,4.0,4.0,4.0,4.0,4.0,4.0,5.0,4.0,4.0,4.0,4.0,4.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,5.0,6.0,2.0,2.0,1.0,0.0
El Salvador,110,2,4.096363636363636,4.131818181818182,4.4,4.091818181818182,4.109090909090909,4.222727272727273,3.720909090909091,4.032727272727273,4.127272727272727,3.4863636363636363,4.4818181818181815,4.1454545454545455,4.327272727272727,3.809090909090909,4.036363636363636,4.409090909090909,4.490909090909091,4.363636363636363,4.236363636363636,3.7181818181818183,4.4,4.545454545454546,4.536363636363636,4.545454545454546,3.9727272727272727,3.7545454545454544,3.672727272727273,3.7454545454545456,3.7636363636363637,3.9545454545454546,3.8363636363636364,4.3545454545454545,3.4727272727272727,3.5,4.609090909090909,6.054545454545455,2.909090909090909,2.2363636363636363,1.0,0.0,4.1,4.4,4.6,4.3,4.3,4.5,4.0,4.2,4.5,3.5,4.5,5.0,5.0,4.0,4.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,4.0,4.0,5.0,6.0,3.0,2.0,1.0,0.0
Ethiopia,22,1,3.777272727272727,4.490909090909091,4.672727272727273,4.618181818181818,4.3954545454545455,4.431818181818182,4.222727272727273,4.286363636363636,4.431818181818182,4.113636363636363,4.318181818181818,4.636363636363637,4.545454545454546,4.636363636363637,4.318181818181818,4.545454545454546,4.636363636363637,4.636363636363637,4.2727272727272725,4.2727272727272725,4.818181818181818,4.636363636363637,4.545454545454546,4.7272727272727275,4.636363636363637,4.2272727272727275,4.181818181818182,4.2727272727272725,4.2272727272727275,4.818181818181818,4.409090909090909,4.409090909090909,4.181818181818182,4.045454545454546,4.2272727272727275,6.136363636363637,3.409090909090909,3.272727272727273,1.0,0.0,3.7,4.6,4.699999999999999,4.7,4.5,4.75,4.3,4.3,4.5,4.5,4.5,5.0,5.0,5.0,4.5,5.0,5.0,5.0,4.5,4.0,5.0,5.0,5.0,5.0,5.0,4.0,4.5,4.5,4.0,5.0,4.0,5.0,4.0,4.0,4.0,7.0,3.0,2.5,1.0,0.0
Fiji,22,2,3.6181818181818177,4.377272727272727,4.390909090909091,4.304545454545455,4.622727272727273,4.136363636363637,4.3545454545454545,4.377272727272727,4.5227272727272725,4.159090909090909,4.454545454545454,4.363636363636363,4.136363636363637,4.409090909090909,4.136363636363637,4.136363636363637,4.7272727272727275,4.7727272727272725,4.681818181818182,4.409090909090909,4.5,4.2727272727272725,4.318181818181818,4.636363636363637,4.2272727272727275,4.181818181818182,4.681818181818182,4.2272727272727275,4.318181818181818,4.454545454545454,3.9545454545454546,4.545454545454546,4.181818181818182,4.136363636363637,4.363636363636363,5.318181818181818,3.5,3.0454545454545454,1.0,0.0,3.9,4.45,4.5,4.5,5.0,4.0,4.3,4.5,4.75,4.0,4.75,5.0,4.5,5.0,4.5,4.5,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,4.0,5.0,4.5,4.0,5.0,5.0,4.0,3.0,1.0,0.0
Finland,87,10,3.693103448275862,4.1689655172413795,4.142528735632184,4.3149425287356316,4.11264367816092,4.040229885057471,4.094252873563218,4.075862068965518,4.431034482758621,3.6666666666666665,4.132183908045977,4.390804597701149,4.206896551724138,4.333333333333333,4.011494252873563,4.068965517241379,4.459770114942529,4.35632183908046,3.954022988505747,4.0344827586206895,4.218390804597701,3.9310344827586206,4.333333333333333,4.080459770114943,4.149425287356322,4.126436781609195,4.080459770114943,4.068965517241379,4.402298850574713,4.540229885057471,2.7011494252873565,4.0,3.6551724137931036,3.67816091954023,4.264367816091954,5.149425287356322,3.2873563218390807,2.7126436781609193,1.0,0.0,3.7,4.4,4.4,4.7,4.3,4.0,4.3,4.0,4.5,3.5,4.0,5.0,4.0,5.0,4.0,4.0,5.0,5.0,4.0,4.0,4.0,4.0,5.0,4.0,4.0,4.0,4.0,4.0,5.0,5.0,3.0,4.0,4.0,4.0,4.0,5.0,3.0,3.0,1.0,0.0
Gambia,8,1,3.9375,4.225,4.3,4.2625,4.4125,3.8125,3.625,4.1625,4.625,3.1875,4.6875,4.375,4.125,4.25,3.375,4.25,4.5,4.375,4.125,4.75,3.875,4.75,4.25,4.5,4.125,3.5,3.5,3.875,4.75,4.375,4.25,4.625,3.5,2.875,4.75,5.875,2.875,2.875,1.0,0.0,3.8,4.15,4.300000000000001,4.35,4.3,3.5,4.0,4.25,5.0,3.5,4.75,4.0,4.0,5.0,3.0,4.0,5.0,4.0,4.0,5.0,4.0,5.0,4.5,5.0,4.0,4.0,4.0,4.0,5.0,4.5,4.5,5.0,3.5,3.0,5.0,6.0,3.0,2.5,1.0,0.0
