Outcome,Factor,Odds ratio
Stay,3Needsmet,12.026465709959288
Stay,Autonomous,7.029986118471495
Stay,Belongs,6.913834089791995
Stay,Competent,3.839965689013888
Stay,LeaderOK,10.584911395576572
Stay,Understood,12.948695829966901
Stay,Encouraged,7.459985045494386
Stay,Heard,4.638728216416069
Stay,ManagementOK,29.069128389037296
Stay,ReturnsOK,13.543012442803132
Stay,RewardsOK,439.699616190544
Stay,StatusOK,41.098253562821334
Stay,Volunteer,1.0
Stay,Front,2.3353848737415017
Satisfied,3Needsmet,1859.8786032187406
Satisfied,Autonomous,2700.211885521316
Satisfied,Belongs,34.445188554495665
Satisfied,Competent,9.63892387489838
Satisfied,LeaderOK,1116.5138353934115
Satisfied,Understood,1368.7850638917598
Satisfied,Encouraged,7.45998504549441
Satisfied,Heard,9.42042065165971
Satisfied,ManagementOK,71.49254117417043
Satisfied,ReturnsOK,28.45090387516936
Satisfied,RewardsOK,14.435639772518238
Satisfied,StatusOK,41.09825356282129
Satisfied,Volunteer,1.0
Satisfied,Front,0.4795118442282934
Meaning,3Needsmet,7.981114995926678
Meaning,Autonomous,10.437895318880202
Meaning,Belongs,10.264610738035936
Meaning,Competent,0.28791351607712046
Meaning,LeaderOK,7.550723735735222
Meaning,Understood,9.472456589161562
Meaning,Encouraged,5.602655392283628
Meaning,Heard,3.0476094322052716
Meaning,ManagementOK,20.824944684247612
Meaning,ReturnsOK,6.420550403370858
Meaning,RewardsOK,11.449730892669663
Meaning,StatusOK,30.225224609838875
Meaning,Volunteer,1.0
Meaning,Front,1.943622439237813
Values,3Needsmet,26.329670796553795
Values,Autonomous,8.980153276894368
Values,Belongs,25.683894691371343
Values,Competent,2.405015907134752
Values,LeaderOK,4.215168454005103
Values,Understood,13.327724756496528
Values,Encouraged,4.688475310644743
Values,Heard,3.7328400705214073
Values,ManagementOK,11.265505948828572
Values,ReturnsOK,7.882228122741299
Values,RewardsOK,2.2516033806649616
Values,StatusOK,16.456513971475545
Values,Volunteer,1.0
Values,Front,0.5983756992550219
Ideas,3Needsmet,981.0332187697331
Ideas,Autonomous,667.1984022476844
Ideas,Belongs,13.64246723532971
Ideas,Competent,9.635709310546847
Ideas,LeaderOK,10.34167877457065
Ideas,Understood,12.61796243162444
Ideas,Encouraged,1.842529926330127
Ideas,Heard,8.394869104040469
Ideas,ManagementOK,6.513719572413684
Ideas,ReturnsOK,12.984233335000516
Ideas,RewardsOK,5.710739672256388
Ideas,StatusOK,0.05508478155850106
Ideas,Volunteer,1.0
Ideas,Front,0.9294782546725199
Well,3Needsmet,15.971808708949935
Well,Autonomous,11.977542634929645
Well,Belongs,7.349520021430366
Well,Competent,5.890445380357545
Well,LeaderOK,5.49674577981083
Well,Understood,6.681016034185583
Well,Encouraged,3.127578955555962
Well,Heard,3.810332790719413
Well,ManagementOK,6.208457067327732
Well,ReturnsOK,3.938976529616063
Well,RewardsOK,3.748110691708159
Well,StatusOK,10.154521312565516
Well,Volunteer,1.0
Well,Front,2.1218082132809344
