Team Name,size (n)
 ATIZAPAN DE ZARAGOZA,16
23.101 EMS,15
23.104 EMS,54
23.206 Monday,9
23.206 Thursday,9
23.206 Tuesday,9
23.206 Wednesday,9
23.304 EMS,25
23.403 Friday,9
23.403 Monday,8
23.403 Sunday,8
23.403 Thursday,8
23.403 Tuesday,6
23.403 Wednesday,7
23.502 Friday,13
23.502 Monday,12
23.502 Saturday,16
23.502 Thursday,11
23.502 Tuesday,11
23.502 Wednesday,13
23.508 EMS,54
23.604 Friday,10
23.604 Monday,9
23.604 Thursday,8
23.604 Tuesday,8
23.604 Wednesday,13
23.703 EMS,34
23.704 EMS,32
508hrar,1
606,47
7MA GENERACION DE LA ENTUM,17
Administración,22
Alpha,4
Austrian RC,56
Bashtanka_Distctrict_Staff,11
Bashtanka_District_Volunteers,10
Batken volunteers,26
BcharriYouth2023,1
Berdychiv_City_JointStaffVolunteers,5
Berehovo_District_Volonteers,2
Bila Tserkva District Volunteers,11
Bilhorod-Dnistrovska_District_Volunteers,5
Bilozerska_District_JointStaffVolunteers,5
Bishkek volunteers,27
Bolgradska_District_Volunteers,4
Borshchiv_District_JoinStaffVolunteers,11
Boryspil_District_Voluunteers,10
Brovary_District_Volunteers,10
Bucha_Filia_Kyiv_Regional_Volunteers,11
CD Choluteca ,9
CD Comayagua,12
CD Juticalpa,5
CD La Esperanza,2
CD La Paz,4
CD Nacaome ,9
CHALCO,24
CHALCO 2,24
CKD unit 2023,7
CM Camasca,11
CM Catacamas ,5
CM Danlí ,2
CM El Paraíso ,2
CM Jesús de Otoro,8
CM Perspire ,1
CM San Francisco de la Paz,2
CM San Lorenzo,9
CM Siguatepeque,31
CM Talanga ,5
CM Taulabé,22
CRCS staff 2,12
CRCS volunteers 1,26
CRCS volunteers 2,24
CREPD,4
CRI Team,9
CRISTALES,18
CRMSJR TEAM,16
CRM_DIxtapaluca,18
CRUZ ROJA MEXICANA  DEL.TEXCOCO,25
Capacitacion Alumnos,3
"Cd. Constitución B.C.S., México",18
Cherkasy_City_Volunteers,2
Cherkasy_RegionalCity_JointStaff,5
Cherkasy_Regional_Joint_Volunteers,8
Cherkasy_Regional_MineRiskAwareness_Volunteers,2
Cherkasy_Regional_PsychosocialSupport_Volunteers,1
Cherkasy_Regional_Staff,15
Cherkasy_Regional_Volunteers,1
Chernihiv_ Regional_Staff,3
Chernihiv_City_Volunteers,1
Chernivetska_District_JointStaffVolunteers,2
Chernivtsi_Regional_Staff,3
Chervonograd District Staff Volunteers,10
Chornomorska_District_Volunteers,4
Chornukhy Local Organization,2
Chortkiv_District_JoinStaffVolunteers,9
Chui volunteers,25
Comisionados Nacionales,9
Comite Municipal,1
Communications,1
Convencion Nacional VOL,53
Coord. Locales Vol Chihuahua,26
Coordinación Gral Filial,24
Coordinators,10
Cruz Roja Cuautla,19
Cruz Roja Delegacion Apaseo,14
Cruz Roja Mexicana BC,14
"Cruz Roja Mexicana Delegación Tlalnepantla: Administración, Captación de Fondos, Servicios Generales y Alumnos.",7
"Cruz Roja Mexicana Delegación Tlalnepantla: Capacitación, Socorros, Voluntariado y Veteranos.",21
"Cruz Roja Mexicana Delegación Tlalnepantla: Enfermería, Juventud y Servicio Médico.",4
Cruz Roja Paraguaya Filial Itapua Miembros de la Directiva,5
Cruz Roja San Miguel de Allende,28
Cruz Roja Valle de Chalco y Amecameca,35
Cuernavaca Voluntarios,9
Córdoba ,21
DACHL,5
DGVS,5
DMS.Keserwen - Team 1,13
DMS.Keserwen - Team 2,9
DMS.Keserwen - Team 3,10
DMS.Keserwen - Team 4,13
DRC Team,4
Damas/Adm/Juventud Coatza,1
Delegación,2
Delegación La Paz,9
Delegación Lázaro Cárdenas 1,11
Delegación Lázaro Cárdenas 2,15
Delegación Lázaro Cárdenas 3,14
Delg. Cd. Mendoza,27
"Delg. Ocuilan, Tenancingo, Tejupilco y Ixtapan de la Sal ""Administrativos / Servicios Médicos""",6
"Delg. Ocuilan, Tenancingo, Tejupilco y Ixtapan de la Sal ""Coord. Socorros""",26
Dikanyka RO,2
Djalal Abad Volunteers,22
Dniprovska_District_JointStaffVolunteers,2
Dnistrovska_District_JoinStaffVolunteers,1
Dobropillya_District_Joint_Staff_Volunteers,4
Donetsk_Regional_Staff,9
Drogobych District Staff Volunteers,6
Druzhkivka_City_Joint_Staff_Volunteers,19
Dubno_City_Volunteers,5
Dubrovitca_City_Volunteers,2
EMS 103 Station,54
EMS 203 Station,78
EMS 205 Station,65
EMS 505 Station,56
EMS 601 Station,70
EMS DMO21,37
EQ1 605,1
East Swiss RC,45
Edo. Méx Adm/Vete/Juve,22
Edo. Méx Nau ESC./ ENF/SMEDICO,11
Edo. Méx Nau Socorros,7
Empleados CRH-HN,18
Ensiapuryhmä Keski-Espoo,16
Equipo Cruz Roja Argentina,4
Equipo Lider Taller de Voluntariado,8
Espanhol 2.0,1
Ethiopian RC,22
FAMILIA ROJA COACALCO,6
FRC MOTI-team,6
FRC Senior management team,1
Finnish Red Cross Management group,7
Franskivska City Representation Staff Volunteers,3
Gabinete Nacional de Juventude,3
Gambian RC,8
Goscha_City_Volunteers,3
"Henkilöstöpalvelut, VP",4
Home-Based Care,1
Huixqui 2,28
Huixquilucan 1,41
Humanitarian Aid,2
IFRC,76
IFRC Intranet core team,6
IFRC Test,2
IT GS SRK,1
Imashela's Team,15
International Cooperation Team,6
Interregional Specialists,7
Intranet core team october 2023,4
Irshava_District_Volonteers,7
Issyk Kul volunteers,21
Ivano-Frankivsk Regional Staff,1
Ivano-Frankivsk city  joint|staff|volunteers,1
Izmail_District_Volunteers,6
JCV +Atitude,4
JCV Colaborador@s,7
JCV Geração Tecla,5
JCV Ponto Vermelho,8
JCV SAFE,5
JCV Voluntári@s,51
JCV WAN,9
JCV in Action,16
Johtamisvalmennuspilotti 2021,23
Jojutla,18
Jugendrotkreuz 1:1 Projekte,39
Jugendrotkreuz Gruppenprojekte,26
Juventud,29
Kalush district  joint|staff|volunteers,5
Kamianets_Podilskyi_City_JointStaffVolunteers,22
Kamianets_Podilskyi_District_JointStaffVolunteers,10
Kamin`- Kashyrs`kyi_District_Volunteers,4
Keski-Helsingin osaston hallitus ,6
Ketjuohjaus,5
Kherson_ Regional_JointStaffVolunteers,6
Khmelnytskyi_District_JointStaffVolunteers,11
Khmelnytskyi_Regional_Staff,9
Khmilnyk_District_JointStaffVolunteers,5
Khust_District_Volonteers,7
Kiev_City_Staff,3
Kiev_City_Volunteers,4
Kiev_Desnyanskyi District_JointStaffVolunteers,5
Kiev_Holosiivskyi District_JointStaffVolunteers,1
Kiev_Pechersky District_JointStaffVolunteers,3
Kiev_Shevchenkivskyi District_JointStaffVolunteers,13
Kiev_Svyatoshinsky District_JointStaffVolunteers,8
